# peacockdb cost-model calibration record (#153). One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# timing_mode, build_profile and allocator each change what the microseconds MEAN. Rows
#   disagreeing on any of them are not comparable — hence columns, not a run heading.
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
peacockdb	tpcds	1	q10	full_table-tp1-standard	6	GpuScanExec	storage_read_bytes	1	0	0	0	1920800	137714516	137714516	2	36214	36213	36216	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	14	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	108973	885406	108973	885406	885406	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	13	GpuHashJoinExec	cuda_hash_join_bytes	1	0	2880524	46807541	108973	885406	885406	1	604	603	605	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	11	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	120	975	120	975	975	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	10	GpuFilterExec	cuda_filter_bytes	1	0	73049	1780572	120	975	975	22	152	150	174	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	9	GpuScanExec	storage_read_bytes	1	0	0	0	73049	1780572	1780572	2	18772	18771	18774	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	12	GpuScanExec	storage_read_bytes	1	0	0	0	2880404	46806566	46806566	2	18002	18001	18004	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	22	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	27788	451556	27788	451556	451556	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	21	GpuHashJoinExec	cuda_hash_join_bytes	1	0	719504	11690965	27788	451556	451556	1	361	359	362	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	19	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	120	975	120	975	975	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
